MSSV,HoTen,Khoa,KhoaHoc,GPA_TichLuy,TinChiTichLuy,XepLoai
SV20210310,Hồ Hương Long,Công nghệ thông tin,K64,2.4,77,Cần cải thiện
SV20210311,Đặng Linh Hân,Kỹ thuật dữ liệu,K65,3.1,106,Khá tích cực
SV20210312,Lê Vy Dũng,Công nghệ thông tin,K66,3.0,82,Khá tích cực
SV20210313,Phạm My Bình,Công nghệ thông tin,K64,2.1,60,Cần cải thiện
SV20210314,Bùi Lan Dũng,Kinh tế số,K65,3.4,118,Khá
SV20210315,Hồ Long Ngọc,Kỹ thuật dữ liệu,K66,2.8,48,Khá tích cực
SV20210316,Bùi My Hân,Công nghệ thông tin,K64,2.9,85,Khá tích cực
SV20210317,Phạm Khánh Trang,Công nghệ thông tin,K65,3.2,100,Khá
SV20210318,Bùi Chi Dũng,Kinh tế số,K66,2.9,67,Khá tích cực
SV20210319,Trần An Linh,Công nghệ thông tin,K64,3.0,96,Khá tích cực
SV20210320,Lê Hải Trang,Kỹ thuật dữ liệu,K65,2.6,94,Khá tích cực
SV20210321,Lê Minh Phúc,Công nghệ thông tin,K66,2.5,46,Khá tích cực
SV20210322,Hồ Linh Chi,Công nghệ thông tin,K64,3.6,110,Xuất sắc
SV20210323,Hồ Nam My,Kinh tế số,K65,3.6,132,Xuất sắc
SV20210324,Vũ Lan Minh,Kỹ thuật dữ liệu,K66,3.2,111,Khá
SV20210325,Hoàng Bình Hân,Công nghệ thông tin,K64,2.3,51,Cần cải thiện
SV20210326,Bùi Quân Bình,Kỹ thuật dữ liệu,K65,2.6,93,Khá tích cực
SV20210327,Phạm Hà Phúc,Công nghệ thông tin,K66,3.2,115,Khá
SV20210328,Lê Bình Giang,Công nghệ thông tin,K64,2.6,90,Khá tích cực
SV20210329,Vũ An Trang,Công nghệ thông tin,K65,2.1,64,Cần cải thiện
SV20210330,Hoàng Ngọc Chi,Kinh tế số,K66,3.0,71,Khá tích cực
SV20210331,Trần Long Ngọc,Công nghệ thông tin,K64,2.2,74,Cần cải thiện
SV20210332,Hoàng Phúc Phúc,Công nghệ thông tin,K65,3.4,107,Khá
SV20210333,Đỗ Khánh Dũng,Công nghệ thông tin,K66,2.5,77,Khá tích cực
SV20210334,Hồ Phúc Dũng,Kỹ thuật dữ liệu,K64,2.0,78,Cần cải thiện
SV20210335,Trần Phúc Nam,Công nghệ thông tin,K65,2.9,87,Khá tích cực
SV20210336,Đặng Minh Trang,Công nghệ thông tin,K66,2.0,56,Cần cải thiện
SV20210337,Đặng Dũng Minh,Kinh tế số,K64,2.4,52,Cần cải thiện
SV20210338,Đỗ Chi Quân,Công nghệ thông tin,K65,3.2,107,Khá
SV20210339,Đỗ Lan Ngọc,Kinh tế số,K66,2.8,78,Khá tích cực
SV20210340,Trần Hân Dũng,Công nghệ thông tin,K64,2.8,89,Khá tích cực
SV20210341,Lê Minh Khánh,Kỹ thuật dữ liệu,K65,2.2,63,Cần cải thiện
SV20210342,Lê Quân Chi,Kinh tế số,K66,2.9,68,Khá tích cực
SV20210343,Đặng Nam Chi,Kỹ thuật dữ liệu,K64,3.0,96,Khá tích cực
SV20210344,Nguyễn Hà Lan,Kinh tế số,K65,1.8,52,Cần cải thiện
SV20210345,Bùi Chi An,Kỹ thuật dữ liệu,K66,3.6,129,Xuất sắc
SV20210346,Hồ Giang An,Công nghệ thông tin,K64,2.9,104,Khá tích cực
SV20210347,Bùi My Minh,Công nghệ thông tin,K65,3.2,126,Khá
SV20210348,Nguyễn Khánh Bình,Kinh tế số,K66,3.0,97,Khá tích cực
SV20210349,Nguyễn Long Chi,Công nghệ thông tin,K64,2.5,57,Khá tích cực
SV20210350,Lê Vy Vy,Công nghệ thông tin,K65,3.7,132,Xuất sắc
SV20210351,Hoàng Giang Ngọc,Công nghệ thông tin,K66,2.0,61,Cần cải thiện
SV20210352,Đặng Trang Giang,Kỹ thuật dữ liệu,K64,2.6,58,Khá tích cực
SV20210353,Nguyễn An Trang,Công nghệ thông tin,K65,3.3,113,Khá
SV20210354,Phạm Bình Long,Kinh tế số,K66,2.5,64,Khá tích cực
SV20210355,Đặng Linh Minh,Công nghệ thông tin,K64,2.9,80,Khá tích cực
SV20210356,Đỗ An Vy,Kỹ thuật dữ liệu,K65,3.1,93,Khá tích cực
SV20210357,Trần Khánh Chi,Công nghệ thông tin,K66,2.8,78,Khá tích cực
SV20210358,Nguyễn Phúc Giang,Công nghệ thông tin,K64,3.3,77,Khá
SV20210359,Hoàng Bình My,Công nghệ thông tin,K65,2.5,58,Khá tích cực
SV20210360,Vũ Dũng Vy,Công nghệ thông tin,K66,1.9,71,Cần cải thiện
SV20210361,Vũ Hà Hương,Công nghệ thông tin,K64,3.2,97,Khá
SV20210362,Hoàng Trang My,Kinh tế số,K65,2.4,83,Cần cải thiện
SV20210363,Phạm Giang Minh,Kinh tế số,K66,3.0,103,Khá tích cực
SV20210364,Bùi My Hải,Kinh tế số,K64,3.2,85,Khá
SV20210365,Vũ Quân Nam,Công nghệ thông tin,K65,2.2,38,Cần cải thiện
SV20210366,Lê Bình Linh,Công nghệ thông tin,K66,2.9,74,Khá tích cực
SV20210367,Phạm Khánh Hương,Kinh tế số,K64,2.5,80,Khá tích cực
SV20210368,Đặng Vy Minh,Công nghệ thông tin,K65,3.5,114,Khá
SV20210369,Hoàng Lan Khánh,Công nghệ thông tin,K66,2.6,72,Khá tích cực
SV20210370,Phạm Vy Quân,Kỹ thuật dữ liệu,K64,1.6,36,Cần cải thiện
SV20210371,Hoàng Hà Ngọc,Công nghệ thông tin,K65,3.4,81,Khá
SV20210372,Bùi An Hà,Công nghệ thông tin,K66,3.3,118,Khá
SV20210373,Đỗ Hương Hà,Công nghệ thông tin,K64,2.6,81,Khá tích cực
SV20210374,Vũ Bình Long,Kỹ thuật dữ liệu,K65,3.0,90,Khá tích cực
SV20210375,Phạm Ngọc My,Kinh tế số,K66,2.4,86,Cần cải thiện
SV20210376,Bùi Hương Linh,Kỹ thuật dữ liệu,K64,2.7,94,Khá tích cực
SV20210377,Hồ Vy Quân,Công nghệ thông tin,K65,3.1,86,Khá tích cực
SV20210378,Nguyễn Vy Ngọc,Công nghệ thông tin,K66,2.8,91,Khá tích cực
SV20210379,Trần An Hân,Kỹ thuật dữ liệu,K64,2.4,62,Cần cải thiện
SV20210380,Nguyễn Long Trang,Kỹ thuật dữ liệu,K65,1.9,44,Cần cải thiện
SV20210381,Phạm Phúc Ngọc,Công nghệ thông tin,K66,2.6,86,Khá tích cực
SV20210382,Vũ Trang Minh,Công nghệ thông tin,K64,2.9,89,Khá tích cực
SV20210383,Phạm Minh Phúc,Công nghệ thông tin,K65,3.0,95,Khá tích cực
SV20210384,Nguyễn Bình Minh,Kỹ thuật dữ liệu,K66,2.0,87,Cần cải thiện
SV20210385,Vũ Hân Phúc,Công nghệ thông tin,K64,2.8,97,Khá tích cực
SV20210386,Trần Lan Bình,Kỹ thuật dữ liệu,K65,2.2,65,Cần cải thiện
SV20210387,Nguyễn Hải Long,Công nghệ thông tin,K66,2.9,129,Khá tích cực
SV20210388,Nguyễn Khánh An,Công nghệ thông tin,K64,2.3,49,Cần cải thiện
SV20210389,Trần Minh Chi,Công nghệ thông tin,K65,3.0,95,Khá tích cực
SV20210390,Trần Linh Hương,Công nghệ thông tin,K66,2.7,79,Khá tích cực
SV20210391,Bùi Chi Hải,Công nghệ thông tin,K64,2.2,76,Cần cải thiện
SV20210392,Vũ Phúc Trang,Kinh tế số,K65,2.8,69,Khá tích cực
SV20210393,Đỗ An Bình,Công nghệ thông tin,K66,2.4,77,Cần cải thiện
SV20210394,Đặng Bình Bình,Kỹ thuật dữ liệu,K64,2.8,86,Khá tích cực
SV20210395,Đặng Minh Hà,Công nghệ thông tin,K65,3.3,72,Khá
SV20210396,Trần Minh Hà,Công nghệ thông tin,K66,3.0,102,Khá tích cực
SV20210397,Hoàng Hân Trang,Công nghệ thông tin,K64,3.1,111,Khá tích cực
SV20210398,Phạm Hải Vy,Công nghệ thông tin,K65,3.1,100,Khá tích cực
SV20210399,Đỗ Nam Minh,Kỹ thuật dữ liệu,K66,2.0,60,Cần cải thiện
SV20210400,Vũ Hải Khánh,Kinh tế số,K64,2.7,63,Khá tích cực
SV20210401,Đặng Quân Vy,Kinh tế số,K65,3.6,132,Xuất sắc
SV20210402,Hoàng Phúc Giang,Kinh tế số,K66,2.4,55,Cần cải thiện
SV20210403,Đặng Hà Quân,Kinh tế số,K64,2.6,66,Khá tích cực
SV20210404,Trần Hương Giang,Kinh tế số,K65,1.7,43,Cần cải thiện
SV20210405,Trần Giang Vy,Kỹ thuật dữ liệu,K66,3.4,108,Khá
SV20210406,Trần Hà Linh,Công nghệ thông tin,K64,2.8,79,Khá tích cực
SV20210407,Vũ Long Ngọc,Công nghệ thông tin,K65,2.6,107,Khá tích cực
SV20210408,Trần Phúc Nam,Công nghệ thông tin,K66,2.8,82,Khá tích cực
SV20210409,Đỗ Hương Phúc,Kinh tế số,K64,3.1,86,Khá tích cực
SV20210410,Hoàng Dũng Chi,Công nghệ thông tin,K65,1.9,28,Cần cải thiện
SV20210411,Phạm My Hà,Kinh tế số,K66,3.0,96,Khá tích cực
SV20210412,Trần Phúc Linh,Công nghệ thông tin,K64,2.2,70,Cần cải thiện
SV20210413,Bùi Vy Chi,Công nghệ thông tin,K65,2.2,69,Cần cải thiện
SV20210414,Phạm Chi Chi,Công nghệ thông tin,K66,2.4,65,Cần cải thiện
SV20210415,Nguyễn Bình Minh,Công nghệ thông tin,K64,2.5,60,Khá tích cực
SV20210416,Hoàng Long Chi,Công nghệ thông tin,K65,2.1,70,Cần cải thiện
SV20210417,Lê Giang Minh,Công nghệ thông tin,K66,2.0,39,Cần cải thiện
SV20210418,Hoàng Bình Hương,Công nghệ thông tin,K64,3.2,105,Khá
SV20210419,Đỗ Vy Dũng,Công nghệ thông tin,K65,2.6,108,Khá tích cực
SV20210420,Hoàng Minh An,Công nghệ thông tin,K66,2.4,73,Cần cải thiện
SV20210421,Nguyễn Giang Linh,Công nghệ thông tin,K64,2.0,48,Cần cải thiện
SV20210422,Hồ Bình Quân,Kinh tế số,K65,3.4,92,Khá
SV20210423,Hồ Hương Vy,Công nghệ thông tin,K66,2.1,69,Cần cải thiện
SV20210424,Phạm An Hân,Kinh tế số,K64,3.0,107,Khá tích cực
SV20210425,Vũ Hân Long,Công nghệ thông tin,K65,3.4,85,Khá
SV20210426,Trần Hân Hải,Công nghệ thông tin,K66,1.9,57,Cần cải thiện
SV20210427,Nguyễn Khánh Chi,Công nghệ thông tin,K64,3.6,103,Xuất sắc
SV20210428,Đặng Hân Hà,Công nghệ thông tin,K65,2.4,82,Cần cải thiện
SV20210429,Hồ Lan Lan,Công nghệ thông tin,K66,2.1,51,Cần cải thiện
SV20210430,Nguyễn Lan Long,Kỹ thuật dữ liệu,K64,2.6,88,Khá tích cực
SV20210431,Đỗ Lan Ngọc,Công nghệ thông tin,K65,2.8,80,Khá tích cực
SV20210432,Phạm Ngọc Vy,Công nghệ thông tin,K66,2.2,83,Cần cải thiện
SV20210433,Phạm Hải Khánh,Công nghệ thông tin,K64,2.8,104,Khá tích cực
SV20210434,Hoàng Vy Hân,Kỹ thuật dữ liệu,K65,2.4,57,Cần cải thiện
SV20210435,Vũ Nam Vy,Kinh tế số,K66,3.0,91,Khá tích cực
SV20210436,Đặng Minh Chi,Kỹ thuật dữ liệu,K64,2.2,87,Cần cải thiện
SV20210437,Nguyễn Linh Lan,Kinh tế số,K65,2.6,76,Khá tích cực
SV20210438,Lê Minh Lan,Kỹ thuật dữ liệu,K66,2.8,76,Khá tích cực
SV20210439,Trần Khánh Phúc,Công nghệ thông tin,K64,3.1,100,Khá tích cực
SV20210440,Bùi Hương Khánh,Công nghệ thông tin,K65,2.1,67,Cần cải thiện
SV20210441,Lê Bình Minh,Kinh tế số,K66,2.9,68,Khá tích cực
SV20210442,Vũ Hân Giang,Công nghệ thông tin,K64,3.1,96,Khá tích cực
SV20210443,Phạm Hân Hương,Kỹ thuật dữ liệu,K65,2.1,33,Cần cải thiện
SV20210444,Vũ Khánh Trang,Công nghệ thông tin,K66,2.5,83,Khá tích cực
SV20210445,Phạm Nam Phúc,Kỹ thuật dữ liệu,K64,3.5,121,Khá
SV20210446,Trần Quân Nam,Kỹ thuật dữ liệu,K65,2.3,59,Cần cải thiện
SV20210447,Hoàng Phúc Ngọc,Kinh tế số,K66,1.7,52,Cần cải thiện
SV20210448,Phạm My Giang,Công nghệ thông tin,K64,2.4,58,Cần cải thiện
SV20210449,Lê Giang Quân,Công nghệ thông tin,K65,1.9,49,Cần cải thiện
SV20210450,Đỗ Minh Long,Công nghệ thông tin,K66,3.3,96,Khá
SV20210451,Trần Dũng Khánh,Công nghệ thông tin,K64,2.4,65,Cần cải thiện
SV20210452,Phạm Hương Vy,Công nghệ thông tin,K65,3.4,105,Khá
SV20210453,Hồ Chi Chi,Kinh tế số,K66,2.7,89,Khá tích cực
SV20210454,Hoàng Quân Lan,Công nghệ thông tin,K64,2.2,61,Cần cải thiện
SV20210455,Đặng Trang Ngọc,Công nghệ thông tin,K65,3.2,105,Khá
SV20210456,Vũ Long An,Kỹ thuật dữ liệu,K66,2.5,92,Khá tích cực
SV20210457,Hồ Giang Hà,Kỹ thuật dữ liệu,K64,3.1,79,Khá tích cực
SV20210458,Phạm Giang Minh,Kỹ thuật dữ liệu,K65,2.6,82,Khá tích cực
SV20210459,Hồ Hương Hân,Kinh tế số,K66,3.2,105,Khá
SV20210460,Lê Chi Hà,Công nghệ thông tin,K64,2.0,88,Cần cải thiện
SV20210461,Trần Nam Dũng,Kinh tế số,K65,3.0,87,Khá tích cực
SV20210462,Trần Giang Dũng,Kỹ thuật dữ liệu,K66,2.9,87,Khá tích cực
SV20210463,Phạm Hân Hân,Kỹ thuật dữ liệu,K64,3.0,100,Khá tích cực
SV20210464,Trần Vy Minh,Kỹ thuật dữ liệu,K65,2.4,79,Cần cải thiện
SV20210465,Trần Khánh Minh,Kỹ thuật dữ liệu,K66,2.8,79,Khá tích cực
SV20210466,Đỗ Giang My,Kinh tế số,K64,2.6,60,Khá tích cực
SV20210467,Trần Lan Hà,Công nghệ thông tin,K65,3.3,99,Khá
SV20210468,Hồ Quân My,Kỹ thuật dữ liệu,K66,2.1,56,Cần cải thiện
SV20210469,Hoàng Lan Hà,Công nghệ thông tin,K64,3.3,88,Khá
SV20210470,Trần Lan Minh,Công nghệ thông tin,K65,2.9,81,Khá tích cực
SV20210471,Nguyễn Hà Minh,Kinh tế số,K66,2.6,104,Khá tích cực
SV20210472,Nguyễn Minh Minh,Công nghệ thông tin,K64,2.6,61,Khá tích cực
SV20210473,Đỗ Chi Hương,Công nghệ thông tin,K65,2.3,71,Cần cải thiện
SV20210474,Trần Ngọc Hải,Kinh tế số,K66,3.1,76,Khá tích cực
SV20210475,Hoàng Nam Vy,Kỹ thuật dữ liệu,K64,3.0,100,Khá tích cực
SV20210476,Lê My Ngọc,Công nghệ thông tin,K65,3.3,130,Khá
SV20210477,Vũ Linh Ngọc,Công nghệ thông tin,K66,3.6,118,Xuất sắc
SV20210478,Hồ An Giang,Công nghệ thông tin,K64,3.3,80,Khá
SV20210479,Hoàng Trang Long,Công nghệ thông tin,K65,3.0,114,Khá tích cực
SV20210480,Vũ Hân Lan,Kỹ thuật dữ liệu,K66,2.4,64,Cần cải thiện
SV20210481,Hoàng Hương Phúc,Kỹ thuật dữ liệu,K64,2.6,87,Khá tích cực
SV20210482,Bùi Chi Giang,Công nghệ thông tin,K65,1.9,47,Cần cải thiện
SV20210483,Hoàng Chi Phúc,Công nghệ thông tin,K66,2.0,57,Cần cải thiện
SV20210484,Hoàng Hải Quân,Công nghệ thông tin,K64,2.1,54,Cần cải thiện
SV20210485,Lê Chi Phúc,Kinh tế số,K65,2.0,53,Cần cải thiện
SV20210486,Nguyễn Hân Giang,Kinh tế số,K66,2.6,66,Khá tích cực
SV20210487,Trần Hà Hương,Kinh tế số,K64,2.3,44,Cần cải thiện
SV20210488,Vũ Hải Chi,Kinh tế số,K65,2.1,73,Cần cải thiện
SV20210489,Hoàng Nam Giang,Kinh tế số,K66,3.0,100,Khá tích cực
SV20210490,Vũ Lan Khánh,Công nghệ thông tin,K64,2.5,81,Khá tích cực
SV20210491,Hoàng An Long,Công nghệ thông tin,K65,2.8,94,Khá tích cực
SV20210492,Trần An Ngọc,Công nghệ thông tin,K66,2.3,45,Cần cải thiện
SV20210493,Nguyễn Quân Ngọc,Công nghệ thông tin,K64,3.1,83,Khá tích cực
SV20210494,Bùi Trang Khánh,Công nghệ thông tin,K65,2.7,86,Khá tích cực
SV20210495,Vũ Nam Hải,Công nghệ thông tin,K66,3.5,98,Khá
SV20210496,Đỗ Hà Khánh,Kinh tế số,K64,2.3,61,Cần cải thiện
SV20210497,Bùi Ngọc Hương,Công nghệ thông tin,K65,2.4,78,Cần cải thiện
SV20210498,Phạm Chi Hải,Công nghệ thông tin,K66,2.9,102,Khá tích cực
SV20210499,Nguyễn Vy Dũng,Kinh tế số,K64,2.4,62,Cần cải thiện
SV20210500,Trần Bình Chi,Công nghệ thông tin,K65,2.4,103,Cần cải thiện
SV20210501,Hoàng Quân Hải,Công nghệ thông tin,K66,2.8,93,Khá tích cực
SV20210502,Bùi Khánh Hân,Kinh tế số,K64,2.8,97,Khá tích cực
SV20210503,Nguyễn Lan An,Kỹ thuật dữ liệu,K65,3.0,116,Khá tích cực
SV20210504,Nguyễn Giang Hà,Công nghệ thông tin,K66,2.1,51,Cần cải thiện
SV20210505,Nguyễn My Long,Công nghệ thông tin,K64,2.7,100,Khá tích cực
SV20210506,Đặng An Giang,Kỹ thuật dữ liệu,K65,2.8,116,Khá tích cực
SV20210507,Đặng Hương Chi,Công nghệ thông tin,K66,1.7,44,Cần cải thiện
SV20210508,Vũ Nam Nam,Kinh tế số,K64,2.0,43,Cần cải thiện
SV20210509,Nguyễn Minh Minh,Công nghệ thông tin,K65,2.8,77,Khá tích cực
SV20210510,Đỗ Nam Khánh,Kinh tế số,K66,2.3,31,Cần cải thiện
SV20210511,Bùi Hân Ngọc,Kinh tế số,K64,2.9,70,Khá tích cực
SV20210512,Đỗ Bình Linh,Công nghệ thông tin,K65,2.7,63,Khá tích cực
SV20210513,Hồ Phúc My,Công nghệ thông tin,K66,2.6,95,Khá tích cực
SV20210514,Lê Linh Chi,Kỹ thuật dữ liệu,K64,2.2,86,Cần cải thiện
SV20210515,Nguyễn Long Long,Công nghệ thông tin,K65,2.7,77,Khá tích cực
SV20210516,Trần Long Dũng,Kinh tế số,K66,3.1,63,Khá tích cực
SV20210517,Đỗ My Hương,Công nghệ thông tin,K64,3.4,102,Khá
SV20210518,Nguyễn Phúc Lan,Công nghệ thông tin,K65,2.9,87,Khá tích cực
SV20210519,Đặng Ngọc Bình,Kinh tế số,K66,3.2,96,Khá
SV20210520,Phạm Nam Nam,Công nghệ thông tin,K64,3.3,121,Khá
SV20210521,Hoàng Chi Hân,Công nghệ thông tin,K65,3.0,106,Khá tích cực
SV20210522,Nguyễn Chi Vy,Công nghệ thông tin,K66,2.9,92,Khá tích cực
SV20210523,Hoàng Hân Vy,Công nghệ thông tin,K64,2.8,90,Khá tích cực
SV20210524,Lê Hải Bình,Công nghệ thông tin,K65,2.4,78,Cần cải thiện
SV20210525,Hồ Hương Ngọc,Công nghệ thông tin,K66,2.4,65,Cần cải thiện
SV20210526,Nguyễn Hà Vy,Công nghệ thông tin,K64,2.1,90,Cần cải thiện
SV20210527,Trần An Long,Công nghệ thông tin,K65,2.7,64,Khá tích cực
SV20210528,Hoàng Phúc Khánh,Công nghệ thông tin,K66,1.7,28,Cần cải thiện
SV20210529,Lê Hải Hà,Công nghệ thông tin,K64,3.6,92,Xuất sắc
SV20210530,Trần Trang Giang,Công nghệ thông tin,K65,2.3,59,Cần cải thiện
SV20210531,Hồ Lan Khánh,Công nghệ thông tin,K66,3.4,72,Khá
SV20210532,Lê Chi Bình,Công nghệ thông tin,K64,2.5,66,Khá tích cực
SV20210533,Đỗ Quân Long,Công nghệ thông tin,K65,2.9,75,Khá tích cực
SV20210534,Phạm An Giang,Kinh tế số,K66,2.6,55,Khá tích cực
SV20210535,Lê Phúc Dũng,Kinh tế số,K64,2.7,57,Khá tích cực
SV20210536,Hoàng Chi Quân,Kỹ thuật dữ liệu,K65,2.3,65,Cần cải thiện
SV20210537,Hồ Hân Hải,Kinh tế số,K66,2.8,84,Khá tích cực
SV20210538,Nguyễn Nam Dũng,Công nghệ thông tin,K64,2.3,62,Cần cải thiện
SV20210539,Hồ Linh An,Kinh tế số,K65,3.1,94,Khá tích cực
SV20210540,Bùi Trang Vy,Công nghệ thông tin,K66,2.9,112,Khá tích cực
SV20210541,Trần Long Linh,Công nghệ thông tin,K64,3.0,83,Khá tích cực
SV20210542,Đỗ Lan Quân,Công nghệ thông tin,K65,2.3,92,Cần cải thiện
SV20210543,Đỗ Nam Trang,Công nghệ thông tin,K66,2.9,98,Khá tích cực
SV20210544,Lê Quân Linh,Công nghệ thông tin,K64,3.1,71,Khá tích cực
SV20210545,Đỗ Chi An,Kỹ thuật dữ liệu,K65,2.2,56,Cần cải thiện
SV20210546,Phạm Lan Hải,Công nghệ thông tin,K66,3.4,119,Khá
SV20210547,Bùi Quân Trang,Kỹ thuật dữ liệu,K64,3.4,86,Khá
SV20210548,Nguyễn Minh Hải,Công nghệ thông tin,K65,2.3,78,Cần cải thiện
SV20210549,Hoàng Long Long,Công nghệ thông tin,K66,2.3,65,Cần cải thiện
SV20210550,Hồ Hương Lan,Kỹ thuật dữ liệu,K64,3.2,93,Khá
SV20210551,Vũ Linh Hà,Công nghệ thông tin,K65,2.7,73,Khá tích cực
SV20210552,Hồ Long Hân,Kinh tế số,K66,3.1,91,Khá tích cực
SV20210553,Đặng Ngọc Hải,Công nghệ thông tin,K64,3.0,75,Khá tích cực
SV20210554,Bùi Dũng Hân,Công nghệ thông tin,K65,2.6,94,Khá tích cực
SV20210555,Bùi Khánh Long,Công nghệ thông tin,K66,2.6,79,Khá tích cực
SV20210556,Bùi Dũng Nam,Kinh tế số,K64,2.7,89,Khá tích cực
SV20210557,Bùi Minh Lan,Kinh tế số,K65,2.5,67,Khá tích cực
SV20210558,Bùi Giang Hân,Công nghệ thông tin,K66,2.7,95,Khá tích cực
SV20210559,Hoàng Phúc My,Công nghệ thông tin,K64,3.4,103,Khá
SV20210560,Hồ Linh Quân,Kỹ thuật dữ liệu,K65,3.3,114,Khá
SV20210561,Đỗ Dũng An,Công nghệ thông tin,K66,2.1,71,Cần cải thiện
SV20210562,Vũ An Minh,Công nghệ thông tin,K64,2.2,56,Cần cải thiện
SV20210563,Bùi Phúc Nam,Công nghệ thông tin,K65,2.1,42,Cần cải thiện
SV20210564,Vũ An Dũng,Kỹ thuật dữ liệu,K66,2.4,57,Cần cải thiện
SV20210565,Nguyễn Hà Giang,Kinh tế số,K64,2.9,85,Khá tích cực
SV20210566,Trần Bình Chi,Kỹ thuật dữ liệu,K65,2.3,58,Cần cải thiện
SV20210567,Trần Minh Long,Công nghệ thông tin,K66,2.0,71,Cần cải thiện
SV20210568,Nguyễn Hà Khánh,Kinh tế số,K64,2.3,70,Cần cải thiện
SV20210569,Lê Hải Dũng,Kinh tế số,K65,3.4,112,Khá
SV20210570,Đặng Hương Hải,Kinh tế số,K66,3.0,118,Khá tích cực
SV20210571,Đặng Hương Vy,Kinh tế số,K64,3.7,85,Xuất sắc
SV20210572,Phạm Lan Phúc,Kỹ thuật dữ liệu,K65,2.7,95,Khá tích cực
SV20210573,Đỗ Quân Long,Công nghệ thông tin,K66,2.7,68,Khá tích cực
SV20210574,Trần Hân Lan,Công nghệ thông tin,K64,2.9,85,Khá tích cực
SV20210575,Đỗ Hải Hương,Công nghệ thông tin,K65,2.3,66,Cần cải thiện
SV20210576,Lê Hân Minh,Kỹ thuật dữ liệu,K66,2.2,60,Cần cải thiện
SV20210577,Phạm Hương Lan,Công nghệ thông tin,K64,3.6,108,Xuất sắc
SV20210578,Trần Ngọc Trang,Công nghệ thông tin,K65,3.7,103,Xuất sắc
SV20210579,Trần Hải An,Kinh tế số,K66,2.3,56,Cần cải thiện
SV20210580,Trần Vy Nam,Công nghệ thông tin,K64,2.7,83,Khá tích cực
SV20210581,Nguyễn Vy Ngọc,Công nghệ thông tin,K65,2.3,63,Cần cải thiện
SV20210582,Hồ Long An,Công nghệ thông tin,K66,3.2,78,Khá
SV20210583,Đặng Minh Giang,Kỹ thuật dữ liệu,K64,2.0,43,Cần cải thiện
SV20210584,Nguyễn Hà Khánh,Công nghệ thông tin,K65,2.9,85,Khá tích cực
SV20210585,Đặng Minh Minh,Công nghệ thông tin,K66,3.5,106,Khá
SV20210586,Nguyễn Long Nam,Công nghệ thông tin,K64,3.3,101,Khá
SV20210587,Vũ Hải Hương,Công nghệ thông tin,K65,2.3,90,Cần cải thiện
SV20210588,Hoàng Hải Dũng,Công nghệ thông tin,K66,2.9,46,Khá tích cực
SV20210589,Trần Hương Minh,Kỹ thuật dữ liệu,K64,2.9,119,Khá tích cực
SV20210590,Vũ Dũng Linh,Công nghệ thông tin,K65,2.1,28,Cần cải thiện
SV20210591,Lê Giang Dũng,Công nghệ thông tin,K66,2.6,111,Khá tích cực
SV20210592,Nguyễn Trang My,Công nghệ thông tin,K64,3.1,108,Khá tích cực
SV20210593,Hồ Vy Hà,Công nghệ thông tin,K65,2.3,58,Cần cải thiện
SV20210594,Hoàng Bình Hải,Công nghệ thông tin,K66,2.7,78,Khá tích cực
SV20210595,Lê Vy Khánh,Kỹ thuật dữ liệu,K64,2.3,86,Cần cải thiện
SV20210596,Đỗ Quân Trang,Công nghệ thông tin,K65,2.5,73,Khá tích cực
SV20210597,Vũ Bình An,Công nghệ thông tin,K66,3.0,84,Khá tích cực
SV20210598,Lê Hân Phúc,Công nghệ thông tin,K64,3.0,103,Khá tích cực
SV20210599,Hồ Chi My,Kỹ thuật dữ liệu,K65,2.8,90,Khá tích cực
SV20210600,Hoàng Hải My,Kinh tế số,K66,1.7,54,Cần cải thiện
SV20210601,Trần Long Vy,Công nghệ thông tin,K64,2.7,84,Khá tích cực
SV20210602,Vũ Lan Hương,Kinh tế số,K65,2.8,53,Khá tích cực
SV20210603,Vũ Trang Minh,Công nghệ thông tin,K66,2.8,76,Khá tích cực
SV20210604,Bùi Dũng Linh,Công nghệ thông tin,K64,3.1,88,Khá tích cực
SV20210605,Trần Nam Quân,Công nghệ thông tin,K65,2.7,80,Khá tích cực
SV20210606,Hồ Trang Phúc,Công nghệ thông tin,K66,2.7,90,Khá tích cực
SV20210607,Phạm Ngọc Trang,Công nghệ thông tin,K64,2.6,82,Khá tích cực
SV20210608,Vũ An Chi,Kinh tế số,K65,2.3,51,Cần cải thiện
SV20210609,Đỗ Dũng Chi,Công nghệ thông tin,K66,2.4,98,Cần cải thiện
SV20210610,Trần Hân My,Kỹ thuật dữ liệu,K64,2.7,56,Khá tích cực
SV20210611,Trần Dũng Ngọc,Công nghệ thông tin,K65,3.4,107,Khá
SV20210612,Nguyễn Khánh Linh,Công nghệ thông tin,K66,1.6,69,Cần cải thiện
SV20210613,Đỗ Hà An,Kinh tế số,K64,2.8,62,Khá tích cực
SV20210614,Hoàng Ngọc Vy,Công nghệ thông tin,K65,2.9,78,Khá tích cực
SV20210615,Lê Khánh Hà,Công nghệ thông tin,K66,3.7,111,Xuất sắc
SV20210616,Lê An Ngọc,Kinh tế số,K64,2.6,56,Khá tích cực
SV20210617,Trần An Khánh,Kỹ thuật dữ liệu,K65,3.1,76,Khá tích cực
SV20210618,Bùi Lan Quân,Công nghệ thông tin,K66,2.4,59,Cần cải thiện
